input_0,input_1,predicted_0,predicted_1,target_0,target_1,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19
-1.0388372,-0.03489055,-0.32795635,-0.0728532,-0.33776352,-0.073273346,0.07027619,0.2867421,0.34557486,0.460539,0.60815597,0.9146166,0.9874073,0.99290645,0.9952106,0.99655426,0.9971871,0.99782306,0.99821067,0.9984794,0.9987492,0.9988873,0.9990525,0.99933094,0.99958336,1.0
-1.0559663,1.9020771,-0.41780096,0.6370728,-0.47600564,0.7069767,0.05797685,0.311792,0.33912486,0.41961777,0.5822179,0.95296216,0.9977632,0.9991549,0.9995025,0.99970376,0.99977213,0.99983555,0.99987406,0.9998968,0.9999191,0.9999275,0.9999341,0.99995035,0.999965,1.0
0.5280252,-0.25466087,0.23467709,-0.2587731,0.35908216,-0.37998015,0.10399031,0.30561483,0.3642909,0.47542125,0.6472075,0.9066046,0.9745372,0.98408777,0.9882045,0.9909195,0.99259704,0.99396086,0.9950137,0.9958023,0.9964267,0.9968917,0.9974023,0.998121,0.99880815,1.0
0.13091774,-0.053736493,0.029584719,0.01753804,0.035798527,0.03572506,0.100439005,0.2921588,0.3573882,0.4709784,0.6324227,0.88790274,0.96401477,0.9761342,0.9818227,0.98576695,0.98824483,0.99036014,0.9920286,0.9932941,0.99435985,0.9951178,0.9959152,0.9971006,0.99820125,1.0
-1.1876649,0.039877933,-0.3273206,-0.056264855,-0.42456448,-0.049460113,0.06651437,0.2863171,0.34081703,0.453741,0.6013096,0.9211207,0.9904199,0.9948892,0.99665636,0.9976439,0.99809074,0.9985385,0.9988056,0.99898523,0.9991706,0.9992587,0.9993639,0.99954855,0.9997157,1.0
-0.26047242,-0.54139245,-0.18102314,-0.35515305,-0.19797744,-0.36133194,0.086263426,0.28256878,0.3540837,0.4736149,0.62769675,0.89653885,0.9738649,0.98352456,0.98801285,0.9907858,0.99241275,0.99385834,0.9949057,0.9956697,0.9963361,0.99678177,0.99732035,0.998101,0.9988201,1.0
-0.6021197,0.66485435,-0.21433677,0.14021528,-0.20688,0.15208884,0.0818571,0.29047865,0.34447733,0.45270878,0.60987735,0.9092982,0.98167807,0.9891483,0.99218357,0.9942682,0.99531585,0.9963323,0.997014,0.99748856,0.9979521,0.9982101,0.9984631,0.9989115,0.99931425,0.99999994
0.2863604,-0.38513106,0.08863202,-0.30678973,0.09083202,-0.44837055,0.09983276,0.29567796,0.35975826,0.47377086,0.63868904,0.898649,0.9712615,0.98176324,0.98643476,0.9894657,0.9913689,0.9929283,0.99413455,0.9950477,0.9957908,0.99633235,0.99694484,0.997823,0.99862653,1.0
-0.3349233,-0.33814695,-0.250948,-0.2279769,-0.29131168,-0.21891797,0.08683004,0.28250456,0.35254753,0.47146216,0.6250489,0.89407593,0.97252035,0.9825374,0.98720026,0.99015844,0.991878,0.9934315,0.9945625,0.9953933,0.99613285,0.9966113,0.99717176,0.99800575,0.99876875,1.0000001
1.7142223,-1.4066261,0.8465286,-0.7539062,0.91760266,-0.7645816,0.07605283,0.33738786,0.36286238,0.4404152,0.65040374,0.96686774,0.99844766,0.99950635,0.99975294,0.9998442,0.9998866,0.99991775,0.9999341,0.9999456,0.9999517,0.9999564,0.9999625,0.999971,0.9999789,1.0
0.1112575,-0.46368995,-0.011113237,-0.37214145,-0.045046058,-0.43833297,0.09662056,0.2899027,0.3577511,0.47361684,0.6338534,0.8944514,0.96969956,0.98059845,0.98555857,0.9887334,0.9907446,0.9924103,0.9936962,0.9946659,0.9954714,0.99604815,0.99671334,0.9976773,0.9985457,1.0
-1.7539302,-1.2388726,-0.6721427,-0.5091253,-0.78974944,-0.6427742,0.049728595,0.287899,0.32801342,0.43165672,0.5806999,0.9539338,0.99833643,0.9993868,0.99970853,0.9998275,0.9998661,0.999904,0.9999225,0.99993354,0.9999435,0.99994767,0.99995446,0.99996656,0.99997747,1.0
0.79481274,1.4683915,0.3369843,0.588879,0.3435328,0.6529051,0.09952814,0.3556755,0.3864477,0.47601333,0.67012024,0.95034635,0.99442554,0.997138,0.99808073,0.998691,0.99899685,0.9992309,0.9993835,0.99950397,0.9995871,0.9996394,0.99968386,0.99975765,0.9998413,0.99999994
1.7777703,1.4546503,0.5656641,0.3683401,0.5561987,0.43546447,0.086520694,0.42078972,0.4365463,0.49601105,0.7068319,0.9754245,0.99917054,0.9997145,0.9998508,0.9999106,0.9999375,0.99995357,0.99996346,0.999971,0.99997514,0.99997777,0.99998015,0.99998385,0.9999886,0.99999994
0.28876224,0.12351347,0.046916604,0.04517918,0.04580429,0.057070162,0.10432768,0.29809874,0.36027408,0.47154745,0.6379373,0.88967717,0.9635122,0.97560084,0.98125285,0.9853318,0.9878831,0.99006957,0.991823,0.99313635,0.9942294,0.9950228,0.9958224,0.99700314,0.9981408,1.0000001
-1.3000818,0.41341084,-0.33340758,0.026357044,-0.88106567,0.22763515,0.06313641,0.2865377,0.33410257,0.4417112,0.5893704,0.9286886,0.99281925,0.9964249,0.99772125,0.9984358,0.9987455,0.9990522,0.99923515,0.999354,0.999479,0.9995342,0.99959415,0.999708,0.9998131,1.0
0.08420453,0.62099093,-0.004315436,0.14847642,-0.008423312,0.15586744,0.09905362,0.29720291,0.35475513,0.46397004,0.6314815,0.89347446,0.9675175,0.97840536,0.98347116,0.9873138,0.9895475,0.99159527,0.993138,0.9942645,0.99524796,0.99589866,0.9965232,0.99748766,0.9984391,0.99999994
-0.83902776,1.5571188,-0.33448505,0.52208143,-0.45288807,0.711829,0.067010276,0.30738273,0.3419441,0.4324692,0.5976746,0.9419923,0.9953133,0.9978838,0.99864435,0.9991217,0.99930996,0.9994869,0.99960065,0.9996703,0.99973845,0.99976796,0.99979234,0.99984676,0.9998956,0.99999994
0.12241795,-0.5876929,0.032649297,-0.44519988,0.027109629,-0.46654132,0.095082015,0.29055905,0.35771942,0.47376218,0.63487154,0.89894414,0.9729941,0.98309433,0.9875966,0.99038625,0.99212265,0.99356776,0.9946597,0.9954751,0.9961413,0.996624,0.997196,0.99801224,0.9987482,1.0000001
0.7651632,-0.1083426,0.43209544,-0.2263001,0.52738315,-0.23262458,0.10818729,0.32042181,0.37429315,0.4803879,0.6591073,0.916113,0.978727,0.98712265,0.9905389,0.9927777,0.99414754,0.9952624,0.9961088,0.996736,0.9972168,0.99758196,0.9979684,0.99850374,0.9990465,1.0000001
1.1853478,0.5376668,0.6036424,0.11513914,0.6284578,0.18929134,0.10747585,0.3622933,0.39929116,0.48581928,0.6819593,0.94486547,0.992002,0.9957375,0.99710333,0.9979227,0.99837285,0.99871457,0.9989586,0.99914384,0.9992704,0.99936193,0.9994519,0.999577,0.99972236,0.99999994
-1.0938833,-0.59656465,-0.30508,-0.23762207,-0.84440947,-0.50114995,0.067378566,0.2857305,0.34530813,0.46264094,0.6121268,0.92246747,0.9906403,0.99503905,0.99683815,0.99777424,0.99819285,0.99860543,0.9988532,0.9990202,0.999179,0.9992607,0.99937373,0.9995575,0.99972194,1.0
0.5984241,-0.82354957,0.28199437,-0.44438267,0.3020808,-0.44262037,0.09756409,0.30572718,0.36120906,0.47241333,0.645324,0.9221747,0.98443294,0.99137723,0.994024,0.9955207,0.9964131,0.99711907,0.99761385,0.9979855,0.99825895,0.9984699,0.99872833,0.999083,0.99940085,1.0
-0.25382406,0.048746407,-0.0988369,0.05058304,-0.099839255,0.11461236,0.0914456,0.28541443,0.351538,0.46713609,0.62208384,0.88824546,0.9675397,0.9788191,0.9841289,0.9877357,0.98985505,0.9917828,0.99320287,0.99426854,0.9952275,0.9958473,0.9965174,0.99756247,0.9984956,0.9999999
