input_0,input_1,predicted_0,predicted_1,target_0,target_1,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99
1.6931862,-0.110796176,1.1842722,-0.31778306,1.1833223,-0.31667563,0.009519203,0.020148367,0.032283552,0.042416617,0.051676795,0.06224451,0.07682526,0.089598835,0.098734386,0.110550895,0.12034025,0.13003299,0.14094216,0.15078092,0.15916929,0.16785356,0.17894197,0.18806525,0.19931178,0.20860933,0.22036397,0.22864854,0.23807064,0.24698041,0.2565028,0.2664527,0.2788605,0.28869522,0.2983143,0.30724695,0.31627056,0.32908005,0.3389895,0.34955883,0.36001012,0.3690984,0.377385,0.38696423,0.39558303,0.404185,0.41551143,0.42661473,0.4361026,0.44585022,0.45574757,0.46638194,0.4743103,0.48491293,0.4943224,0.5057133,0.51449245,0.52515244,0.5347232,0.54452604,0.5524631,0.5614373,0.57013434,0.5808462,0.5912415,0.6026784,0.6141362,0.6243958,0.634069,0.64383364,0.65664315,0.6668022,0.6768723,0.68663245,0.6962134,0.70812553,0.7183479,0.72915435,0.73852026,0.7468119,0.75751597,0.7679306,0.7766425,0.78924876,0.7987604,0.8071151,0.8177995,0.8276206,0.83748627,0.8482601,0.85714495,0.8669744,0.877202,0.885864,0.8984457,0.9085978,0.9188454,0.92767507,0.93654144,0.94615173,0.9544232,0.964113,0.97344697,0.98228955,0.9905549,1.0
0.28363946,-0.7720605,0.146753,-0.477679,0.1467307,-0.47798496,0.009539853,0.020507429,0.030999947,0.041366424,0.050656892,0.06176527,0.07392974,0.08449972,0.09464253,0.10598107,0.11615441,0.12606332,0.1369336,0.1474823,0.15652327,0.16633746,0.1770216,0.18662629,0.197027,0.20599434,0.21581571,0.22494373,0.23455606,0.2438772,0.2540912,0.26401585,0.275324,0.28606042,0.29624784,0.305866,0.31425413,0.32625636,0.3361643,0.3467008,0.3562293,0.3659123,0.37483647,0.38422614,0.39250138,0.4013437,0.41216698,0.4234482,0.43375587,0.44385153,0.45408568,0.4639816,0.47241077,0.48288697,0.492731,0.5036046,0.51378906,0.52628005,0.5351543,0.5439912,0.552191,0.5607791,0.5693515,0.5796273,0.5903029,0.6010374,0.61157286,0.62188804,0.6321244,0.6407629,0.6525733,0.6627736,0.67185885,0.68064845,0.6928412,0.70293856,0.71369594,0.72554386,0.7362039,0.7450705,0.7549374,0.7652913,0.7753452,0.7868356,0.79649085,0.8052826,0.81604064,0.82468134,0.83406985,0.8459453,0.85526586,0.86470807,0.87373585,0.8826014,0.8944652,0.9057396,0.91644526,0.9263508,0.9349263,0.9440856,0.9538173,0.96292084,0.9723957,0.98192483,0.99028534,1.0
1.3828925,-0.81703734,0.9743128,-0.6868734,0.9738863,-0.6864728,0.009524774,0.020264529,0.03199093,0.041803673,0.05079791,0.061886027,0.075797886,0.08708125,0.096523836,0.10848882,0.11895932,0.12883349,0.14026171,0.15017143,0.158223,0.16740808,0.17766823,0.18688138,0.1982186,0.20723702,0.21742898,0.22560835,0.23457955,0.2431389,0.2526855,0.26229495,0.27419,0.2842952,0.29399806,0.3024484,0.31107065,0.32438764,0.33444118,0.3453921,0.35563457,0.36474317,0.3731124,0.3825498,0.39068633,0.39880303,0.41053802,0.42220873,0.4316845,0.4419738,0.45242196,0.46362847,0.47137725,0.48267925,0.49259934,0.5036631,0.51296157,0.5240125,0.5329291,0.5425474,0.55036265,0.55904937,0.5669984,0.5772592,0.58845407,0.600297,0.61132437,0.6217045,0.6317593,0.6411072,0.6542594,0.6642585,0.6742678,0.6835024,0.69433296,0.70571667,0.7166943,0.72843504,0.7385999,0.7471321,0.7573965,0.76756674,0.77618265,0.78793633,0.79771304,0.8059878,0.8167321,0.8258674,0.83546954,0.8469327,0.8559407,0.8655748,0.87459874,0.8835573,0.896198,0.907511,0.9181795,0.92744344,0.93582803,0.9453105,0.954188,0.9636444,0.9729946,0.9822382,0.990344,0.9999999
-1.1223335,0.6443523,-0.785836,0.40882537,-0.7850411,0.40767258,0.009144563,0.020582257,0.031680234,0.04228682,0.05216171,0.062042028,0.07404913,0.08504462,0.0958005,0.10664801,0.11607824,0.1251966,0.13456775,0.14479777,0.15472275,0.16478714,0.17473511,0.1845878,0.19437173,0.2032144,0.21221885,0.22158656,0.23146552,0.2411297,0.25199178,0.2613629,0.27151698,0.28384337,0.2957949,0.3058244,0.314879,0.3252209,0.3352878,0.34439006,0.3536159,0.36192894,0.3711177,0.38065472,0.38870412,0.39773333,0.4085491,0.41884774,0.4290173,0.438328,0.44825578,0.45741373,0.46622086,0.4770261,0.4864196,0.49693978,0.5067881,0.5184528,0.5273328,0.53619385,0.5445864,0.55308723,0.5620949,0.57338214,0.5834085,0.59440327,0.60476506,0.6142771,0.6247842,0.6339567,0.645743,0.6563105,0.66537505,0.6743176,0.6873273,0.69793487,0.706963,0.71900976,0.7291162,0.73818016,0.74828434,0.7590022,0.7702365,0.78185004,0.7921523,0.80098957,0.8118609,0.8207371,0.8296988,0.8416547,0.85121566,0.86089283,0.87005025,0.87937343,0.890504,0.9017287,0.91234887,0.9223908,0.93152255,0.94027185,0.94963896,0.95980895,0.9705432,0.9812033,0.9897218,1.0000001
1.2566696,1.8313717,0.3963903,0.620147,0.397065,0.6219733,0.008596505,0.020697342,0.03282036,0.042592738,0.052284632,0.06188761,0.07702476,0.08999122,0.09918919,0.11155584,0.1203326,0.13007015,0.1400159,0.14898491,0.15797639,0.16656557,0.17931232,0.18819146,0.19842298,0.20850399,0.22114846,0.23003194,0.24097282,0.24973245,0.25944567,0.2687084,0.28074592,0.29243585,0.302651,0.31361794,0.32374904,0.3348595,0.34622163,0.3563199,0.36555895,0.3744294,0.38244712,0.39239842,0.40121275,0.4104676,0.42048347,0.42892402,0.43728864,0.44685215,0.45543712,0.46462834,0.4726236,0.48182997,0.48931244,0.5014103,0.50906277,0.51957613,0.53034806,0.53891104,0.5470371,0.5555449,0.5645249,0.5760772,0.58494115,0.5956839,0.6067618,0.6170244,0.6264452,0.6362747,0.64845407,0.65892136,0.66856426,0.67852485,0.69017917,0.7020793,0.71224284,0.7225913,0.731452,0.7393676,0.75038016,0.76176035,0.77293885,0.78697264,0.7951655,0.80346906,0.8133319,0.822143,0.83195245,0.8432593,0.8523113,0.8629434,0.8758625,0.8845529,0.89723915,0.90805256,0.9174199,0.92683136,0.9360176,0.94505805,0.9535949,0.96261555,0.97361666,0.9825099,0.99040526,1.0
-1.7282114,-1.4193671,-0.74662226,-0.70175886,-0.74786115,-0.7029938,0.009061912,0.018563643,0.02816682,0.038930077,0.047660805,0.058943354,0.07104998,0.08207925,0.09162399,0.10272959,0.113134034,0.12322393,0.13371767,0.14589989,0.15462743,0.1664147,0.1775801,0.18736641,0.19711338,0.20643389,0.21679825,0.22613868,0.23534611,0.2444596,0.25421014,0.2654755,0.27621087,0.28841692,0.29901493,0.30925018,0.31754357,0.33058447,0.33968517,0.35066408,0.358243,0.3676389,0.37581167,0.38443434,0.39164856,0.40111354,0.41212398,0.42361572,0.43306974,0.4426168,0.4530907,0.4618417,0.46935427,0.47971627,0.4899019,0.49953884,0.511541,0.52451843,0.5341966,0.54192877,0.54965526,0.5575708,0.5659384,0.5762085,0.5859263,0.5967271,0.6064961,0.6156196,0.62462914,0.6334671,0.6454575,0.65638757,0.66567117,0.6733432,0.68985665,0.70121247,0.71120167,0.72353506,0.73522204,0.74400944,0.7537255,0.763513,0.77508926,0.7867278,0.79682565,0.80452204,0.81661683,0.823824,0.8326987,0.8454236,0.8554514,0.86337954,0.87261677,0.8808456,0.89324236,0.9044515,0.91527337,0.9252024,0.9335997,0.94299847,0.9522623,0.9614967,0.97268665,0.9818705,0.9908328,0.9999999
-1.113684,-1.0216933,-0.71704394,-0.72382927,-0.7161817,-0.7241492,0.008976976,0.019059878,0.028864998,0.039645817,0.048523627,0.05980047,0.07179801,0.082644835,0.09235749,0.1034034,0.11348538,0.123692214,0.13389134,0.14529207,0.15446568,0.16547458,0.17654479,0.1863589,0.19635774,0.2053391,0.21523863,0.2247547,0.23438,0.24388912,0.25410265,0.26509544,0.27605072,0.28799564,0.29859215,0.30883688,0.31724834,0.32950646,0.33893493,0.34952596,0.3576727,0.3673086,0.3757985,0.38472956,0.3924578,0.401884,0.41263852,0.42365077,0.43360507,0.44324535,0.45363533,0.46293524,0.47128943,0.4813918,0.49123693,0.5014626,0.5129177,0.5256579,0.5348281,0.54299873,0.5510447,0.5593278,0.5677588,0.5780969,0.5879561,0.598247,0.60833466,0.61778736,0.6272349,0.6358996,0.64763355,0.65829724,0.66766894,0.675705,0.6903385,0.7009522,0.71086663,0.72298634,0.7342756,0.7431523,0.75298727,0.76291,0.7742586,0.78587,0.7958142,0.804056,0.8157456,0.82361573,0.8329105,0.84503907,0.85461754,0.86326534,0.8723382,0.8811555,0.89306986,0.90416443,0.91473836,0.9247511,0.9334127,0.94257563,0.9521016,0.96142423,0.9720111,0.9815755,0.99057496,1.0
-2.1686268,1.0880243,-0.8480669,0.33868113,-0.8503245,0.33927882,0.009387895,0.021003772,0.033177108,0.04382993,0.053361297,0.063121974,0.075304225,0.08683814,0.09746207,0.10802877,0.11718297,0.12574172,0.13442674,0.14449249,0.15513687,0.16607565,0.17581847,0.18566267,0.19511151,0.20392147,0.21291782,0.22195545,0.2319664,0.24161571,0.25315526,0.26270032,0.27205732,0.2854157,0.298231,0.30848604,0.31762964,0.32749316,0.337586,0.34601718,0.35453734,0.36260605,0.37157443,0.3806696,0.3879059,0.39694902,0.40803704,0.41873088,0.42873967,0.43779606,0.4483174,0.45719266,0.46582696,0.47684819,0.48647162,0.49669698,0.50632894,0.5183516,0.52708554,0.5360496,0.5438291,0.5512279,0.56032646,0.5720649,0.58222073,0.5937364,0.6040949,0.613635,0.62401253,0.63327974,0.6458948,0.6569234,0.66576785,0.674337,0.6889155,0.7000306,0.70869976,0.72077394,0.73070836,0.73989505,0.7497284,0.76056415,0.77144897,0.78354234,0.7941708,0.802564,0.8138308,0.8223271,0.83083683,0.8434088,0.85290915,0.8621419,0.8710693,0.88060623,0.89194196,0.9034463,0.91422737,0.924095,0.93259025,0.9412066,0.9506904,0.9602947,0.9713949,0.9818321,0.98987424,0.99999994
-1.7739619,2.176318,-0.61398125,0.6264937,-0.6158734,0.6283485,0.009340958,0.021514941,0.033995893,0.044538032,0.05397699,0.06321814,0.07535207,0.08732562,0.09687555,0.107477695,0.11594544,0.12485919,0.1331217,0.14277992,0.1544234,0.16457158,0.17405906,0.18376382,0.1924663,0.20170632,0.21036853,0.22004165,0.22990504,0.23993966,0.25157887,0.26077443,0.27053759,0.28480345,0.29736695,0.30713946,0.317012,0.3269829,0.33780405,0.34670582,0.3554147,0.36376134,0.37277356,0.38237873,0.38969532,0.39818585,0.40915665,0.418531,0.4287841,0.43796733,0.44757205,0.45679125,0.46576232,0.47631088,0.4845081,0.49488014,0.50318813,0.51482165,0.52369744,0.53252506,0.5405765,0.54837644,0.5578778,0.56967145,0.5795567,0.5907459,0.6012945,0.6108142,0.6217569,0.6314652,0.6441056,0.6549857,0.6645025,0.67311937,0.68674195,0.69896954,0.7073101,0.71851504,0.7278071,0.7368739,0.74794227,0.7592165,0.7698199,0.7820177,0.79180014,0.79991865,0.8103698,0.82001716,0.82875687,0.84228003,0.85079753,0.8604293,0.8700383,0.8802386,0.89122146,0.90306276,0.91364354,0.92284644,0.9315984,0.9405057,0.9502814,0.96029997,0.9711562,0.9821303,0.9900801,1.0
-0.89859456,-1.9842855,-0.37868285,-1.0004153,-0.3788723,-1.001863,0.009354053,0.01898944,0.028673466,0.039462283,0.048057053,0.05983343,0.072205134,0.082490474,0.09163175,0.10251514,0.112977445,0.12310611,0.13418926,0.14648268,0.15524162,0.16700794,0.17796999,0.18738908,0.19742067,0.20676444,0.21690595,0.22652194,0.23562035,0.24516472,0.25500426,0.26607186,0.27779946,0.28976858,0.30012795,0.30999357,0.3179347,0.33167577,0.34073317,0.35266438,0.36044428,0.37060678,0.37886423,0.387414,0.39479247,0.40346205,0.41456282,0.42608747,0.43595594,0.44588363,0.45648608,0.4654145,0.4728763,0.48307225,0.49287924,0.50250465,0.5142065,0.52742124,0.53672856,0.54438037,0.552185,0.5603393,0.56793714,0.57808405,0.5879869,0.5987153,0.6088047,0.618667,0.6280878,0.63691866,0.6483202,0.65885943,0.6681441,0.6756571,0.69258374,0.70340884,0.7141924,0.72638416,0.73828626,0.7469834,0.7567952,0.76669073,0.77796566,0.7894819,0.7986421,0.8066201,0.8182863,0.8250671,0.83392227,0.8471887,0.8565868,0.8646029,0.8736509,0.88201183,0.89444864,0.906085,0.9170926,0.92720616,0.9350749,0.94408214,0.95378345,0.9626912,0.9735799,0.9824237,0.99093705,1.0
