input_0,input_1,predicted_0,predicted_1,target_0,target_1,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19
-0.20864576,-0.013464639,-0.076004006,0.06434547,-0.041911233,0.07495342,0.05120112,0.10427153,0.15184209,0.20338184,0.24936093,0.2958026,0.35253072,0.40428007,0.4503069,0.5078019,0.55369407,0.60744905,0.65769285,0.7066366,0.7518725,0.79838216,0.851846,0.9014306,0.946949,1.0
0.31822446,-1.3513324,0.24562082,-1.0915092,0.24923676,-1.085974,0.048348848,0.09125714,0.14545198,0.20486449,0.24934338,0.2882073,0.3514593,0.407655,0.4481708,0.5053631,0.5530725,0.60433936,0.6570981,0.6991149,0.74011326,0.78510827,0.84017336,0.89398915,0.9455698,1.0
-0.27100617,0.4830165,-0.112238385,0.16580638,-0.116275884,0.17214563,0.05092976,0.10670237,0.15422994,0.20493327,0.2504119,0.2978945,0.35478103,0.4066448,0.45341265,0.51041734,0.5545048,0.60732377,0.6565009,0.7055416,0.74993145,0.79691684,0.8519187,0.9009422,0.9450351,1.0
1.0116106,1.4858215,0.40391764,0.59960765,0.40585396,0.60678446,0.049912162,0.100102216,0.14283043,0.19497487,0.23641376,0.2799741,0.34490454,0.3961568,0.44226968,0.5027989,0.54320383,0.5951006,0.64008486,0.6897333,0.7312431,0.78128517,0.8426476,0.8946046,0.94092345,1.0
-0.1025713,-0.041344754,0.0037240318,0.046584703,0.018385712,0.038926948,0.051038716,0.10370481,0.15101102,0.20305718,0.24897094,0.29504472,0.35181683,0.4036743,0.44935328,0.506935,0.55292165,0.6065283,0.6572285,0.7059679,0.75128865,0.7978515,0.85153997,0.9011916,0.9469208,0.99999994
-0.3955179,-0.39953086,-0.29388165,-0.2534762,-0.28171596,-0.25217998,0.050557397,0.102163106,0.15056236,0.20286089,0.25055197,0.29502803,0.3523389,0.4046167,0.44963625,0.5085718,0.5553862,0.6091755,0.6599021,0.7080627,0.7515243,0.797415,0.8501769,0.90220636,0.94769824,1.0
0.43446383,-1.1614169,0.24218853,-0.6495687,0.26899278,-0.76481944,0.04807792,0.09275015,0.14651358,0.20635574,0.25143608,0.29099417,0.35385382,0.40943572,0.45043427,0.50614524,0.55378354,0.60644925,0.65782744,0.70010674,0.74239635,0.787025,0.8416184,0.89439344,0.9454466,1.0
0.30851445,0.9363348,-0.010159037,0.15106696,0.0026708206,0.17271176,0.049021274,0.10445197,0.1478195,0.20008287,0.24325497,0.28931814,0.34887013,0.40054828,0.44711748,0.50451404,0.5463017,0.5982138,0.64629203,0.6962192,0.73837066,0.7865385,0.84548295,0.8966011,0.9415643,1.0000001
0.30898184,-0.3969727,0.11453783,-0.4260704,0.12531628,-0.45594725,0.049908422,0.09982446,0.14843005,0.20436537,0.24976835,0.2930446,0.3517144,0.40409106,0.44640613,0.50357014,0.5500498,0.60336506,0.6545675,0.700444,0.74588025,0.79204893,0.84697604,0.89834595,0.94626665,1.0
-1.0016047,0.69368607,-0.725036,0.46582255,-0.7347964,0.4661116,0.04851516,0.1080316,0.15858418,0.20748657,0.25380975,0.30084372,0.35801727,0.41022873,0.45879278,0.5160292,0.55834097,0.60883266,0.6574086,0.70682895,0.750404,0.79690564,0.8521884,0.9018014,0.9434166,1.0
2.2785764,0.94436973,1.2539994,-0.050759554,1.2533773,-0.028880449,0.0505897,0.090663224,0.13490161,0.19229726,0.2327591,0.27006617,0.34426916,0.39849764,0.43993923,0.5001702,0.53940153,0.5963019,0.636395,0.6823479,0.72896504,0.7787461,0.83973914,0.8915887,0.9423516,1.0
1.049837,0.021548487,0.59871346,-0.10618194,0.60066193,-0.102302656,0.047362268,0.096122846,0.14205456,0.19842407,0.24175766,0.28368887,0.34658128,0.39741373,0.43978745,0.49511394,0.5395158,0.5946771,0.64223266,0.6885543,0.7366254,0.783992,0.8428724,0.89328617,0.94349957,1.0
-1.4500406,1.2209123,-0.7160402,0.50985354,-0.72107434,0.51228476,0.045304574,0.108546354,0.15927172,0.20717403,0.25261152,0.29953718,0.35697907,0.40889248,0.45871556,0.51784354,0.5574724,0.6059408,0.6539778,0.7035631,0.746167,0.7938098,0.85046476,0.90186894,0.94199437,0.99999994
1.383314,-1.1810769,0.87285924,-0.7951301,0.87626654,-0.7966485,0.044554017,0.08788642,0.14297889,0.20524701,0.25118166,0.2891109,0.35601276,0.411966,0.45337468,0.5051419,0.55183625,0.6047019,0.65170395,0.69169676,0.7368903,0.77929395,0.8382338,0.88888836,0.94268495,1.0
0.9708937,0.8983509,0.54667836,0.4207248,0.54541314,0.4227022,0.050016463,0.10051008,0.14351413,0.19692257,0.23876154,0.28191808,0.34477952,0.3970719,0.44129503,0.5002039,0.54281604,0.595974,0.64117414,0.69063294,0.7341598,0.7840572,0.84396684,0.89507127,0.94182014,1.0
1.4803324,-0.0973567,0.78319246,-0.1651793,1.133859,-0.29886934,0.045963187,0.09303575,0.13965654,0.19904664,0.242447,0.28238782,0.3486989,0.4006043,0.44275934,0.49627644,0.53916335,0.5950233,0.6403596,0.685154,0.7348066,0.77991104,0.8399645,0.8902223,0.9424583,1.0
