input_0,input_1,predicted_0,predicted_1,target_0,target_1,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19
-0.32728434,-0.046057254,-0.19015074,0.050348073,-0.8475415,0.012971274,0.053315625,0.10659871,0.16544826,0.21482208,0.26625192,0.31614587,0.37438086,0.42373395,0.46476245,0.51617813,0.56544626,0.6161081,0.6574584,0.7068569,0.74902785,0.7909883,0.85927165,0.9057403,0.9526249,1.0
-0.09790711,-0.44012836,-0.19278483,-0.3468159,-0.22955619,-0.85620815,0.052893065,0.10898477,0.16787611,0.21585901,0.26600903,0.31439853,0.3738678,0.4239658,0.46431786,0.5148998,0.5657805,0.61420953,0.6549427,0.7055293,0.74751437,0.7895405,0.8570268,0.9036934,0.9510255,0.99999994
0.6356286,0.105550356,0.050464503,0.03941014,1.2081517,0.40127617,0.053993147,0.10462841,0.16690703,0.21293083,0.26349044,0.3127069,0.36747336,0.413427,0.456173,0.501769,0.55469847,0.6062757,0.64885503,0.70143676,0.73960924,0.78143644,0.84905577,0.9020466,0.94994545,0.99999994
0.05019961,0.08649904,0.03592415,0.063795045,0.43103865,0.39184013,0.05409848,0.10585527,0.16623595,0.21324901,0.26397532,0.3139426,0.3706235,0.41837764,0.46026856,0.5090133,0.5585547,0.6105902,0.65242493,0.7029165,0.74336517,0.7857654,0.8540105,0.9035149,0.9514311,1.0
-0.06414611,0.17997217,0.005852714,0.09470548,-0.10161728,0.69980335,0.05374433,0.10538402,0.16534747,0.21275643,0.26379606,0.31465065,0.3713606,0.4190736,0.46084806,0.51016533,0.55905354,0.6115849,0.6530292,0.70295584,0.7434895,0.78583384,0.8548261,0.90415406,0.951782,1.0
-0.17445864,0.16585927,-0.050201815,0.111041486,-0.4765769,0.6641111,0.05367056,0.10547282,0.16498595,0.21312603,0.26437166,0.31526196,0.3722512,0.4201166,0.46167362,0.51175886,0.56054956,0.6130793,0.6544037,0.7039742,0.7449569,0.78713745,0.8562245,0.90486443,0.95214474,1.0
0.5712088,0.3831734,0.042190045,0.07949845,1.1881709,0.93871665,0.053728364,0.103747614,0.16610025,0.21117869,0.26136,0.312344,0.367518,0.41334546,0.45643318,0.50189847,0.5530258,0.60555124,0.647377,0.6993507,0.7365469,0.77844423,0.84849787,0.90170085,0.9498799,1.0
0.048759717,0.009496057,0.036776293,0.05136068,0.41183296,-0.17386515,0.054158047,0.106327236,0.16639559,0.21363595,0.26440725,0.3139238,0.3709901,0.41898978,0.46064365,0.50959784,0.55941904,0.61085314,0.65271604,0.70323694,0.7440154,0.78642344,0.85433215,0.9034654,0.95128304,0.99999994
-0.015674174,0.1585254,0.021629035,0.08298851,0.041966245,0.60182214,0.053821042,0.105444565,0.16562203,0.21280687,0.26374495,0.31438544,0.37105513,0.41876847,0.4606051,0.50963914,0.55868566,0.61111575,0.65267754,0.7028213,0.74324226,0.7856134,0.854397,0.9038708,0.9516242,0.99999994
-0.1604067,-0.39849418,-0.2313624,-0.28339177,-0.30083382,-0.67211634,0.052794326,0.10875058,0.1674567,0.21564472,0.26599374,0.31468773,0.3741076,0.42436913,0.4647172,0.5154952,0.56607217,0.6144259,0.6552596,0.7055326,0.7477809,0.78993654,0.85759765,0.9039884,0.95129704,1.0
-0.033386078,-1.1109726,0.018726498,-0.47189605,-0.24647549,-2.6585035,0.050427023,0.110206515,0.16779423,0.2175092,0.2652631,0.31117743,0.37390232,0.42533493,0.46572456,0.5140803,0.569604,0.6175854,0.6564894,0.70698416,0.74708885,0.78845644,0.8568602,0.9034549,0.9502934,1.0
-0.9250047,0.12666985,-0.31282,-0.019865159,-1.9384862,0.42925432,0.05264391,0.10499304,0.16262081,0.21470064,0.2655461,0.31615627,0.37583876,0.42688325,0.46831504,0.52081454,0.57006824,0.61986184,0.66094613,0.70865494,0.751956,0.79334736,0.86470824,0.90892804,0.9554088,1.0
-0.49659213,-0.9326549,-0.1622486,-0.39877608,-1.073306,-1.7609823,0.051060267,0.11012155,0.1679557,0.21889146,0.26855853,0.31491345,0.3796056,0.43088132,0.47237024,0.5220563,0.57641625,0.6225749,0.66252804,0.71091014,0.7521365,0.7945213,0.8625502,0.90559715,0.95238626,1.0
0.055469308,0.017662317,0.037121702,0.052610103,0.51142895,-0.09500854,0.05417786,0.10629928,0.16641897,0.21360312,0.26434344,0.31388265,0.3708793,0.41883504,0.4605296,0.50941336,0.5592315,0.6107205,0.65260386,0.7031448,0.7438685,0.78628695,0.8542205,0.9034359,0.9512893,1.0
-0.6453372,0.57778686,-0.22026466,0.12689896,-1.0722662,1.0828829,0.0536491,0.10425274,0.16200688,0.21075122,0.26119912,0.31417143,0.37235725,0.4199937,0.46141005,0.5116919,0.55934227,0.6133132,0.65315264,0.7014559,0.7424898,0.78464574,0.8576271,0.90725803,0.9542792,1.0
-0.05121534,0.2109096,0.0067786872,0.099392645,0.065653905,1.1038406,0.053791285,0.10530603,0.16519015,0.21247283,0.2635321,0.31456178,0.3711414,0.41870776,0.4605749,0.5097995,0.5585813,0.6112228,0.65265775,0.7025853,0.7429863,0.7853832,0.85449475,0.90406704,0.95176566,1.0
-0.048567213,0.7854604,-0.055220164,0.16970533,-0.04791111,1.4109886,0.053158615,0.10268445,0.16142163,0.20760803,0.25902587,0.3133754,0.368628,0.4137679,0.45621955,0.5038016,0.5510876,0.6066378,0.647299,0.6970589,0.73536396,0.7776346,0.850183,0.9041294,0.95269156,0.99999994
-0.7044299,0.517045,-0.23536754,0.11349624,-1.0993142,0.9034096,0.053582102,0.104278564,0.1621016,0.21132347,0.261713,0.31414342,0.3725624,0.4207465,0.46212122,0.512779,0.5605765,0.61395943,0.65403676,0.7023597,0.74393183,0.7859427,0.858824,0.90755063,0.95436144,1.0
-0.2174885,-0.34033328,-0.25106144,-0.2093569,-0.25281397,-0.4964627,0.05280535,0.10843273,0.16696504,0.2154142,0.26607278,0.31499067,0.3742274,0.42460078,0.4650609,0.5160327,0.5663032,0.61472905,0.6556861,0.70581484,0.74824256,0.79049456,0.85822767,0.9043838,0.95170665,1.0
-0.102037326,0.1825041,-0.010252442,0.1021536,-0.22536486,0.7227983,0.053724904,0.10540583,0.16516496,0.21279529,0.2639334,0.31484413,0.37164438,0.41937727,0.46110097,0.51068497,0.55949533,0.61204946,0.6534232,0.7031971,0.7438698,0.786173,0.8552414,0.9043968,0.9518979,1.0
1.0586264,-0.576862,0.4811991,-0.30404058,1.5972397,-0.691348,0.054090194,0.109476626,0.16985545,0.21567722,0.26460034,0.3105804,0.36665392,0.4127745,0.4540953,0.5021905,0.5605831,0.61030704,0.650893,0.70599616,0.7436605,0.7835928,0.84953463,0.9029229,0.9497298,0.99999994
-0.939796,0.051370848,-0.31740326,-0.041909557,-1.9360942,0.25194055,0.052451078,0.10531999,0.16300012,0.21537761,0.26655897,0.31698683,0.37689883,0.42811924,0.46951786,0.522245,0.5717062,0.62090105,0.66208297,0.70957494,0.7531036,0.79439116,0.8653389,0.90896595,0.9554691,1.0
0.520042,-0.25212872,0.3115195,-0.3327108,0.84194595,-0.20258202,0.05436482,0.10775629,0.16874242,0.21489814,0.2647336,0.31218475,0.3683198,0.41492137,0.45654076,0.5040158,0.557466,0.60784507,0.6499807,0.7029373,0.7425636,0.7840613,0.85011584,0.90155447,0.9497882,1.0
0.9163323,-0.77164614,0.41886276,-0.3638574,1.8932309,-1.6087664,0.053636003,0.11093721,0.17112045,0.21739145,0.26566875,0.31066972,0.3684979,0.4155069,0.45608503,0.50461286,0.5629872,0.61223114,0.65231204,0.706703,0.74461377,0.7842181,0.8507779,0.9029354,0.94965047,0.99999994
-0.21025816,0.14895807,-0.074521646,0.112813324,-0.6054215,0.6370866,0.05362201,0.10551976,0.16493915,0.21336153,0.2646343,0.31544602,0.3725821,0.42057234,0.46204364,0.5123915,0.5612227,0.613673,0.65499264,0.70450366,0.7456723,0.7877761,0.8568133,0.9050999,0.95227265,1.0
-0.3247668,-0.07858599,-0.19479066,0.035084147,-0.6346732,-0.10362083,0.05329078,0.10683587,0.16560777,0.21497817,0.26638877,0.3161094,0.37449515,0.4240427,0.46500203,0.5164864,0.5658779,0.61621654,0.65753746,0.7069793,0.7492285,0.79122573,0.859394,0.9057122,0.95259786,1.0
0.4087913,0.616754,0.024603805,0.11323781,1.450312,2.0152855,0.05352486,0.10318765,0.16449055,0.20925595,0.259727,0.31176996,0.3673218,0.4121939,0.45548412,0.50162965,0.5507618,0.6044437,0.6454301,0.6969579,0.73411727,0.7763119,0.84771156,0.90148854,0.9497794,1.0
-0.12230609,0.007211394,-0.007119458,0.059423007,-0.21276604,-0.18658696,0.053864423,0.106212005,0.16571452,0.21388495,0.2650855,0.31500086,0.37263045,0.42098463,0.46227634,0.5123848,0.561741,0.61337465,0.6548381,0.7047154,0.74603736,0.78818464,0.8564379,0.9044711,0.95175457,1.0
-0.3418093,-0.091323294,-0.21605814,0.024854109,-1.0950527,-0.09472908,0.053231403,0.106939286,0.16566361,0.21508881,0.26651582,0.31621933,0.37470046,0.42441496,0.46537614,0.5169414,0.5663674,0.616525,0.6578326,0.7072714,0.7495793,0.7915528,0.8596825,0.9058278,0.95270556,1.0
-0.93550044,-0.0065992656,-0.32051393,-0.058708735,-1.3581839,0.0578959,0.052365195,0.10565576,0.16347036,0.21598276,0.26740885,0.31769192,0.3777876,0.42907572,0.47043937,0.52335393,0.57299745,0.6217677,0.6630003,0.7103675,0.75397897,0.79521155,0.8657713,0.90904075,0.955523,1.0
-0.29594174,-0.23564434,-0.24820505,-0.09294287,-0.57397795,-0.4245067,0.053020813,0.107858405,0.16633257,0.21538648,0.26656318,0.31576955,0.3747887,0.42513973,0.4658468,0.51707816,0.56698555,0.61589354,0.65703523,0.70694256,0.7494473,0.7916367,0.8594679,0.9052781,0.95238686,1.0
0.19762844,-0.48989663,0.051240515,-0.46546048,0.37809548,-1.1137694,0.05359159,0.109782524,0.16950262,0.21636888,0.26635605,0.31374294,0.37275285,0.42151356,0.46211007,0.51164925,0.56435525,0.6129217,0.6538017,0.705773,0.7464986,0.787815,0.85457593,0.9031577,0.9504911,1.0
-0.20762579,-0.3482895,-0.24808627,-0.21851832,-0.21697024,-0.48969954,0.052800167,0.10846624,0.16702496,0.2154169,0.26602724,0.31491083,0.3741598,0.42450827,0.46495205,0.5159002,0.566208,0.6146169,0.6555574,0.705718,0.7481234,0.7903635,0.8580941,0.90430486,0.9516332,1.0
0.3537472,0.63392204,0.019800372,0.12010339,0.56301284,1.0974815,0.053481348,0.10313558,0.16412006,0.20904881,0.2597953,0.312025,0.367552,0.41232473,0.45553756,0.50190663,0.5506462,0.6045667,0.64559984,0.6969273,0.7342793,0.7765684,0.84793615,0.90152204,0.9499365,1.0
-0.9365141,-0.29142475,-0.31632417,-0.15503561,-2.1737902,-0.5023637,0.05245306,0.108129114,0.16625673,0.21878669,0.27163503,0.3205325,0.38219038,0.4337405,0.47485363,0.5280482,0.5788162,0.6255943,0.66679287,0.7141998,0.7572781,0.7987136,0.8675063,0.9094099,0.9556247,1.0
0.06191251,-0.47976,-0.078770205,-0.42566177,0.12466322,-0.8319972,0.05326675,0.109448716,0.1688757,0.21620804,0.26622155,0.31404465,0.37342814,0.42287332,0.46343362,0.5134159,0.5652174,0.6137473,0.65445644,0.7057859,0.7470201,0.78864884,0.8557341,0.9033889,0.95063394,1.0
-0.20861958,0.13211441,-0.07240298,0.10783094,-0.4497403,0.28535268,0.053608075,0.105557285,0.16502291,0.21348259,0.26475924,0.31547564,0.37268412,0.4207469,0.4621796,0.51256895,0.5614667,0.61383927,0.65517604,0.70469564,0.74589634,0.78796613,0.8569643,0.9051372,0.9522574,1.0
-0.22636122,0.086366214,-0.08600315,0.09743762,-0.33277985,-0.022503352,0.05362838,0.105783165,0.16514438,0.2138012,0.26510668,0.31556052,0.37303218,0.4213087,0.46261314,0.51321733,0.56219935,0.61433184,0.65568674,0.70521796,0.74663854,0.78866005,0.85743624,0.90521157,0.9522662,1.0
-0.8130862,0.39208266,-0.26886895,0.08034946,-1.7179061,0.9890005,0.053291667,0.10432483,0.16210535,0.21244553,0.26299506,0.31450862,0.37332815,0.42258632,0.46382982,0.5153984,0.56362057,0.6158815,0.6563076,0.7045835,0.7469651,0.78871006,0.8613957,0.90827495,0.95464206,1.0
