input_0,input_1,predicted_0,predicted_1,target_0,target_1,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99
0.27954587,1.1553146,0.11265537,0.6436373,0.19386141,0.7209237,0.3618,0.3845,0.4275,0.4282,0.4304,0.4358,0.4448,0.4497,0.452,0.4539,0.4614,0.4636,0.465,0.467,0.4712,0.4734,0.4746,0.483,0.4836,0.492,0.4968,0.4968,0.4983,0.4998,0.5005,0.5005,0.501,0.508,0.5093,0.5093,0.512,0.515,0.517,0.5195,0.521,0.524,0.5254,0.527,0.5273,0.532,0.5327,0.534,0.537,0.5376,0.539,0.541,0.544,0.545,0.545,0.5483,0.5483,0.5493,0.5493,0.553,0.554,0.554,0.555,0.5566,0.5566,0.558,0.558,0.565,0.573,0.584,0.5854,0.5854,0.587,0.59,0.5938,0.5967,0.5967,0.598,0.5996,0.5996,0.601,0.601,0.6035,0.6094,0.6094,0.6133,0.6147,0.6147,0.62,0.627,0.6343,0.6343,0.6353,0.6353,0.6426,0.6494,0.651,0.6533,0.67,0.6714,0.673,0.678,0.681,0.7075,0.7144,0.759
-1.1312292,0.07110723,-0.67240024,0.0092849955,-0.34427664,-0.051061083,0.4165,0.4297,0.4324,0.4387,0.4414,0.4421,0.4421,0.461,0.4644,0.4656,0.472,0.4836,0.4844,0.485,0.4878,0.4927,0.4934,0.5005,0.501,0.501,0.504,0.504,0.5054,0.506,0.508,0.508,0.509,0.5127,0.514,0.517,0.5186,0.521,0.524,0.526,0.527,0.5293,0.531,0.5327,0.5327,0.534,0.5366,0.537,0.5435,0.544,0.545,0.5483,0.5483,0.549,0.552,0.553,0.553,0.5537,0.559,0.559,0.562,0.565,0.5664,0.5674,0.5674,0.5703,0.573,0.573,0.5757,0.5757,0.577,0.58,0.58,0.5815,0.584,0.5854,0.587,0.5913,0.5923,0.5938,0.5967,0.5996,0.602,0.602,0.602,0.6094,0.612,0.6147,0.626,0.627,0.627,0.633,0.6343,0.6353,0.6367,0.6396,0.6396,0.645,0.651,0.6577,0.659,0.6606,0.663,0.6675,0.6714,0.673
0.8691095,-1.1728387,0.6399063,-0.8187196,0.64722437,-0.9544478,0.3645,0.38,0.381,0.4006,0.4048,0.4143,0.42,0.4338,0.4463,0.4504,0.4553,0.456,0.456,0.4573,0.465,0.4692,0.476,0.4768,0.4802,0.4858,0.4893,0.4949,0.4956,0.499,0.5054,0.5063,0.5063,0.509,0.5103,0.5107,0.511,0.512,0.5156,0.516,0.517,0.5176,0.5244,0.5273,0.531,0.5317,0.5317,0.535,0.5376,0.54,0.544,0.551,0.553,0.5537,0.554,0.5566,0.5566,0.558,0.558,0.559,0.559,0.5605,0.565,0.5674,0.5703,0.572,0.5747,0.5757,0.577,0.577,0.5786,0.58,0.58,0.583,0.584,0.587,0.59,0.598,0.5996,0.601,0.601,0.601,0.602,0.602,0.6064,0.6064,0.6104,0.616,0.6177,0.6187,0.623,0.626,0.627,0.63,0.633,0.638,0.663,0.666,0.673,0.6772,0.6865,0.688,0.6924,0.6924,0.699,0.7036
1.5844822,0.2921009,1.1305919,-0.18312097,0.6443121,0.02125024,0.3423,0.3694,0.4048,0.411,0.4185,0.4207,0.4207,0.4248,0.427,0.429,0.438,0.4414,0.4448,0.4456,0.4485,0.452,0.4531,0.465,0.4685,0.4705,0.472,0.4768,0.481,0.483,0.4858,0.4866,0.4915,0.4927,0.4949,0.504,0.506,0.5127,0.5205,0.524,0.524,0.5254,0.5254,0.5254,0.5273,0.529,0.5293,0.5356,0.539,0.542,0.545,0.5454,0.5483,0.549,0.5522,0.554,0.555,0.555,0.5566,0.5566,0.5605,0.572,0.573,0.5747,0.5757,0.577,0.5786,0.584,0.584,0.59,0.5913,0.5938,0.5938,0.595,0.608,0.608,0.608,0.612,0.612,0.6133,0.6147,0.6187,0.6187,0.62,0.6216,0.63,0.633,0.633,0.633,0.6343,0.6436,0.6436,0.645,0.6465,0.6562,0.6616,0.663,0.663,0.6675,0.676,0.6978,0.702,0.7144,0.72,0.7393,0.7617
-0.7510592,0.43943843,-0.4683379,0.23309526,-0.26083255,0.10268375,0.4158,0.4214,0.44,0.449,0.449,0.456,0.4622,0.4656,0.4692,0.4712,0.472,0.4788,0.4795,0.487,0.49,0.4941,0.4941,0.4968,0.502,0.5024,0.5044,0.506,0.508,0.509,0.5093,0.5107,0.512,0.5127,0.5137,0.517,0.5186,0.5205,0.522,0.524,0.524,0.527,0.5273,0.5273,0.529,0.5376,0.5376,0.54,0.5405,0.541,0.541,0.5425,0.5425,0.5435,0.5454,0.5483,0.5503,0.552,0.554,0.555,0.558,0.559,0.559,0.5605,0.562,0.565,0.5664,0.5664,0.569,0.573,0.5747,0.5747,0.577,0.577,0.5786,0.58,0.5815,0.583,0.584,0.5938,0.5938,0.595,0.5967,0.598,0.598,0.5996,0.605,0.6064,0.6104,0.6133,0.6216,0.623,0.626,0.6313,0.6353,0.6353,0.641,0.6436,0.6436,0.6436,0.6523,0.655,0.655,0.666,0.669,0.6865
-0.6506629,1.3761197,-0.3897755,0.68037903,-0.40019,0.7299067,0.3057,0.3208,0.3528,0.4033,0.411,0.4116,0.422,0.4297,0.4358,0.444,0.4463,0.4497,0.4512,0.4526,0.4553,0.4568,0.4663,0.467,0.4734,0.4775,0.4878,0.4907,0.4934,0.4949,0.4968,0.4983,0.5005,0.501,0.502,0.5024,0.5063,0.5127,0.514,0.515,0.5186,0.522,0.524,0.526,0.526,0.527,0.5273,0.528,0.529,0.5303,0.534,0.5366,0.537,0.539,0.5425,0.5435,0.5474,0.5503,0.5566,0.5605,0.5605,0.5664,0.5674,0.5674,0.572,0.572,0.573,0.5757,0.577,0.583,0.587,0.5884,0.5923,0.5938,0.5938,0.602,0.6035,0.608,0.6187,0.6187,0.626,0.6313,0.6313,0.6313,0.633,0.6343,0.6343,0.6353,0.6396,0.6426,0.6436,0.645,0.6494,0.6523,0.6523,0.6562,0.659,0.666,0.678,0.6826,0.7007,0.712,0.7188,0.7383,0.7573,0.7725
0.0028372284,0.4233336,-0.032485258,0.2077555,-0.00012834943,0.13604744,0.4185,0.461,0.4636,0.4644,0.4685,0.4734,0.4783,0.4788,0.4824,0.4858,0.4878,0.4878,0.4878,0.4885,0.4941,0.4941,0.4956,0.4968,0.4968,0.4976,0.503,0.5063,0.5093,0.5093,0.515,0.5176,0.5186,0.522,0.524,0.524,0.526,0.527,0.529,0.5303,0.5303,0.531,0.531,0.532,0.5327,0.5327,0.5337,0.5356,0.5386,0.539,0.539,0.5435,0.545,0.547,0.5493,0.5493,0.5503,0.5522,0.553,0.553,0.554,0.5566,0.5566,0.558,0.5605,0.562,0.5635,0.5664,0.569,0.569,0.569,0.5703,0.572,0.5757,0.5757,0.577,0.577,0.577,0.5815,0.583,0.584,0.5854,0.5854,0.587,0.5884,0.5923,0.598,0.5996,0.605,0.605,0.6064,0.6064,0.6064,0.6104,0.612,0.6177,0.626,0.627,0.6284,0.6313,0.6396,0.6436,0.648,0.6523,0.6646,0.6797
1.2854518,0.8703384,0.57891834,0.32255596,0.5947305,0.3313239,0.37,0.3804,0.3928,0.3977,0.4172,0.4192,0.4255,0.429,0.4316,0.4373,0.4373,0.44,0.4448,0.4497,0.456,0.4678,0.4692,0.47,0.47,0.4768,0.4824,0.483,0.483,0.49,0.4927,0.4949,0.4949,0.496,0.5005,0.504,0.5093,0.515,0.515,0.516,0.517,0.517,0.5176,0.5205,0.522,0.524,0.524,0.527,0.528,0.531,0.535,0.5366,0.537,0.54,0.54,0.5435,0.547,0.5493,0.551,0.553,0.555,0.5566,0.5605,0.5635,0.5635,0.565,0.5664,0.569,0.5703,0.5757,0.58,0.5815,0.584,0.5854,0.5884,0.59,0.5923,0.5967,0.602,0.6104,0.6133,0.6147,0.616,0.616,0.6216,0.6245,0.6284,0.6353,0.638,0.6426,0.6436,0.645,0.6465,0.6562,0.6606,0.6646,0.669,0.669,0.6743,0.6797,0.681,0.6924,0.7007,0.734,0.752,0.7812
0.035451103,0.63716286,-0.01659156,0.3197729,-0.022222642,0.16376083,0.4067,0.4448,0.4614,0.47,0.4712,0.4712,0.4727,0.4734,0.476,0.481,0.4824,0.483,0.4858,0.487,0.487,0.4885,0.49,0.4915,0.496,0.4983,0.4998,0.5005,0.504,0.5054,0.5063,0.5103,0.519,0.519,0.521,0.521,0.5225,0.5225,0.5244,0.5293,0.531,0.532,0.532,0.535,0.535,0.5356,0.5356,0.5366,0.5386,0.539,0.541,0.547,0.5474,0.5483,0.5483,0.5483,0.5503,0.5503,0.551,0.5522,0.553,0.553,0.555,0.5566,0.558,0.562,0.5635,0.565,0.5664,0.5664,0.572,0.573,0.5757,0.5757,0.577,0.58,0.5815,0.583,0.5854,0.587,0.5884,0.5913,0.5913,0.5967,0.598,0.5996,0.5996,0.602,0.602,0.6035,0.6094,0.6104,0.6187,0.623,0.623,0.6245,0.627,0.6367,0.6396,0.6396,0.6465,0.6494,0.655,0.6714,0.6826,0.6865
0.14274713,0.46588492,0.037502855,0.23442388,0.02137141,0.12207165,0.4143,0.4587,0.4622,0.4622,0.4644,0.4712,0.476,0.4775,0.4824,0.483,0.4844,0.4858,0.4885,0.4915,0.492,0.496,0.499,0.502,0.5024,0.503,0.504,0.5044,0.506,0.509,0.5107,0.512,0.5127,0.5137,0.519,0.521,0.524,0.5244,0.528,0.529,0.5303,0.531,0.5317,0.5327,0.5337,0.534,0.534,0.535,0.5366,0.5376,0.5405,0.5454,0.547,0.547,0.5483,0.5483,0.549,0.5493,0.553,0.554,0.555,0.5566,0.5566,0.558,0.559,0.5635,0.5635,0.5674,0.569,0.569,0.569,0.5703,0.5747,0.5757,0.577,0.5786,0.58,0.58,0.58,0.584,0.587,0.5884,0.59,0.5913,0.5913,0.5967,0.5996,0.5996,0.601,0.601,0.6094,0.6104,0.612,0.616,0.616,0.6216,0.627,0.627,0.63,0.63,0.6313,0.648,0.6523,0.6523,0.663,0.691
